email,first_name,last_name,company_name,archetype,recommended_topic,language_confidence,priority,personalized_hook,city,country,website,phone,notes
,,,Vietnam National Academy of Music,conservatory,"Music Theory & Ear Training; Piano Mastery + Improvisation (advanced)",high,High,"VNAM hosts international students from Laos, Sweden, Korea, Japan — your Indian-influenced theory perspective adds a genuinely new angle to that mix.",Hanoi,Vietnam,https://www.vnam.edu.vn,,"Director: Dr. Le Anh Tuan; Chairperson: Dr. Nguyen Huy Phuong. Hosted Glenn Korff School of Music delegation 2025."
,,,Hanoi Musicland School of Music,contemporary_academy,"Multi-instrumental workshop covering Piano, Bass & Guitar fundamentals; Vocal Harmony for advanced students",medium,High,"Your faculty teaching across 10+ instruments — Western and Vietnamese traditional — and AMEB exam prep is a rare combination. My multi-instrumental workshop format would slot in cleanly.",Hanoi,Vietnam,http://musiclandvietnam.com,+84 933 180 166,"Established 1996; ~100 teachers; 3 facilities across Hanoi"
cul.hanoi@mea.gov.in,,,Swami Vivekananda Cultural Centre Hanoi,DO_NOT_USE_INSTANTLY,"Hand-written email — Indian classical/contemporary music workshop; lecture-demonstration",high,Highest,"HAND-WRITE THIS ONE. Write a personal email mentioning your Bangalore base, the Riffs project, your YouTube reach, and ask if they'd want a workshop or lec-dem during a Vietnam visit. They actively host Indian artist programmes.",Hanoi,Vietnam,https://www.indembassyhanoi.gov.in,+84 24 3633 2083,"Director currently Dr. Monica Sharma. Also try diricc.hanoi@mea.gov.in. ICCR-run, explicitly hosts Indian music workshops."
,,,Vietnam Contemporary Music Centre (VCMC),contemporary_academy,"Riffs Method (daily composition); Music Theory & Ear Training",medium,Medium,"VCMC's work with Goethe Institut and Institut Français on international contemporary music exchange aligns with the daily-composition practice I've built around the Riffs project.",Hanoi,Vietnam,https://iscm.org/member/vietnam-contemporary-music-centre/,,"Chairman: Prof. Dr. Do Hong Quan"
,,,Dom Dom (New Music Centre),contemporary_academy,"Riffs Method; Modern Music Production with DAW",medium,Medium,"Your partnerships with Hanoi Academy, Malmoe Academy, and Ars Nova Ensemble for short-form workshops match exactly the kind of session I'd love to run.",Hanoi,Vietnam,https://domdommusic.net,,"Experimental music focus — fits Riffs Method angle"
,,,UNIS Hanoi (United Nations International School),international_school,"Guest artist masterclass — adaptable to existing UMA program (band, strings, vocal)",high,High,"Your UNIS Music Academy already brings in VNAM faculty and ABRSM-aligned instruction — a visiting Indian multi-instrumentalist would offer your students something genuinely different from their core curriculum.",Hanoi,Vietnam,https://www.unishanoi.org,,"Look up UMA Manager via website. Strong English-medium program."
,,,Reigate Grammar School Vietnam,international_school,"Guest artist masterclass + jazz improvisation session for senior students",high,High,"RGSV hosted the Glenn Korff School of Music delegation in 2025 — I'd love to bring a similar visiting-artist experience tailored to a single afternoon or full-day session.",Hanoi,Vietnam,https://www.rgsvietnam.com,,"British school; IB+Cambridge; verified open to international guest artists"
,,,The Olympia Schools,international_school,"Guest artist masterclass; Music Theory & Ear Training session",high,High,"Olympia hosted Glenn Korff School of Music workshops in 2025. I'd love to offer a similarly-structured visit, tailored to your students' levels.",Hanoi,Vietnam,https://theolympiaschools.edu.vn,,"K-12; verified open to international guest artists"
,,,TH School Hoa Lac,international_school,"Guest artist masterclass — flexible format",high,Medium,"TH School's specialist music rooms and arts focus on the Hoa Lac campus would be a great fit for an afternoon masterclass with your Grades 9-12 students.",Hanoi,Vietnam,https://thschool.edu.vn,,"Cambridge IGCSE+A Level + IB; boarding; western edge of Hanoi"
,,Quyen Van,Minh,Binh Minh Jazz Club,jazz_venue,"Workshop + performance combo — Jazz Improvisation, time feel, jamming as a band",high,Highest,"PERSONAL APPROACH. Mr. Minh, your work with Vietnamese jazz vocabulary at the Hanoi Conservatory is exactly the kind of cross-tradition musicianship I'm interested in — I'd love to come play with the band and run a workshop for your students.",Hanoi,Vietnam,https://minhjazzvietnam.com,+84 4 3933 6555,"Founder is Berklee-influential. Hand-write or DM Instagram."
,,,Long Waits Jazz Bar,jazz_venue,"Workshop + performance combo — open stage participation",high,High,"Your weekly open stage and crossover jazz nights make Long Waits feel like the right room for a visiting musician's session — I'd happily play and run a short workshop alongside.",Hanoi,Vietnam,https://www.longwaitsjazz.com,,"Active 2026 calendar; tribute nights + open stage"
,,,Blake's House of Jazz,jazz_venue,"Performance + jam session; short workshop on improvisation",high,Medium,"Your two-stage setup with the Mainstage and Backroom programming feels perfect for a visiting musician — happy to perform on either stage and offer a workshop if useful.",Hanoi,Vietnam,https://www.blakebar.com,,"Founded 2022; jazz nightly 9PM"
