id,cluster,priority,archetype,name,city,state,contact_person,email,phone,instagram,facebook,website,recommended_topic,personalized_hook,verified,notes
scc,Northeast,highest,anchor,Shillong Chamber Choir,Shillong,Meghalaya,William Richmond (frontman/manager),via website contact form,,@shillongchamberchoir,https://www.facebook.com/ShillongChamberChoir,https://www.shillongchamberchoir.com,Vocal Harmony masterclass + Riffs Method residency,Personal connection: Neil Nongkynrih performed at Cathedral when Jason was head boy — father was faculty,high,ANCHOR — hand-write. 40K IG followers. ThePrint feature May 2026 on choir resilience. Performed at ICC Women's World Cup 2025 opening.
stmarys-shillong,Northeast,highest,hw,St. Mary's Convent Higher Secondary School,Shillong,Meghalaya,School Office (Salvatorian Sisters),stmarysshillong@gmail.com,+91 364 2505929,,,http://stmarysschoolshillong.in,Vocal harmony + arrangement workshop for school choir,Their choir went viral on Instagram with 'Legend' performance,medium,Hand-written. Founded 1913. Send to office asking to forward to choir director.
kclights,Northeast,high,hw,KC Lights (Shillong youth choir),Shillong,Meghalaya,Brian Neil Wallang (Headmaster/Choir Dir Kiddies Corner School),,,,,,"Vocal harmony + production workshop","Your home-studio recordings show what a young choir can do with initiative",low,Contact via Kiddies Corner Secondary School Laitumkhrah. No public social found.
mlcu,Northeast,high,std,Martin Luther Christian University,Shillong,Meghalaya,Dr. Donovan Kitborlang Swer (Asst Prof Music),admin@mlcuniv.in,+91 9233519538,,,https://www.mlcuniv.in,Music Theory & Ear Training + Riffs Method residency,Your BPA in Music is one of the few degree pathways in the Northeast,high,Direct faculty: donovanswer@mlcuniv.in. Dept of Music & Fine Arts offers MA/BA Music.
donbosco-shillong,Northeast,medium,std,Don Bosco Salesian Schools Shillong,Shillong,Meghalaya,Provincial Office Salesian Province,,+91 883 7256533,,https://facebook.com/TibetanHomesFoundation,https://donboscoshillong.org,Multi-instrumental masterclass,The Salesian education network has a strong music tradition across India,low,Provincial House Mathias Institute Mawlai Shillong. Ask to forward to school Music coordinator.
pinewood,Northeast,medium,std,Pine Mount School Shillong,Shillong,Meghalaya,Mrs. Aiom Ksiar Diengdoh (Principal),principalpinemountschool@gmail.com,+91 364 2223039,,,https://pinemountschool.in,Multi-instrumental masterclass,Your school's music tradition in Laban Shillong would be a great fit,high,NOTE: Original list had 'Pinewood Hotel' — no music venue found. Pine Mount School is closest match. Girls ICSE school.
ncm,Northeast,highest,std,Nagaland Conservatory of Music (NCM),Dimapur,Nagaland,Lipokmar Tzudir (Chairman & Founder),nagalandconservatoryofmusic@gmail.com,+91 93662 39275,@nagalandconservatory,https://www.facebook.com/nagalandconservatoryofmusic,https://www.nagalandconservatoryofmusic.com,Music Theory & Ear Training residency + Riffs Method,NCM's BPA affiliated with Nagaland University is one of the most ambitious music education projects in the Northeast,high,IMPORTANT: Based in DIMAPUR not Kohima. Admissions: admissions.ncm@gmail.com. Active Instagram 1253 followers. YouTube podcast series active.
mssm,Northeast,high,std,Margaret Shishak School of Music (MSSM),Chumoukedima,Nagaland,Ms. R. Mhonroni Lotha (HOD) / Mr. Zingrin Shishak (Dean),music@patkaicollege.edu.in,+91 9436276750,@mssm_official_,,https://patkaicollege.edu.in/margaret-shishak-school-of-music,Vocal Harmony + arrangement workshop,Your recent concert with the Nagaland String Orchestra showed serious curated programming,high,IMPORTANT: Part of Patkai Christian College based in CHUMOUKEDIMA not Kohima. Alt: patkaicollege@gmail.com. Active IG.
mak,Northeast,high,std,Music Academy Kohima (MAK),Kohima,Nagaland,Khyochano TCK Ngully (Director),Khyo.ngully@trinitycollege.in,+91 87946 02879,@musicacademykohima,https://www.facebook.com/musicacademykohima,https://musicacademykohima.com,Multi-instrumental masterclass + Riffs Method,Founder Khyochano built MAK from the ground up since 2013 — the Brillante! Piano Festival shows their ambition,high,Direct mobile: +91 9436815998. Active IG 1533 followers. Alt phone from Codex: +91 85750 75123.
symphony-kohima,Northeast,medium,std,Symphony Academy of Music Kohima,Kohima,Nagaland,,, +91 70851 78052,,https://www.facebook.com/Symphonymusickohima,https://www.symphonymusickohima.com,Modern Music Production + DAW workflow,As Nagaland's largest music institution offering both classical and contemporary courses,medium,No email found. Phone from business listing. Contact via phone or Facebook. Jail Colony Kohima.
