cluster,city,state,country,institution_name,archetype,contact_name,contact_email,instagram_handle,phone,website,recommended_topic,priority,personalized_hook,format_recommendation,language_confidence,notes,send_via,verified
Singapore,Singapore,,Singapore,Yong Siew Toh Conservatory of Music (NUS),conservatory,Prof. Peter Tornquist (Dean),musconcerts@nus.edu.sg,@ystconservatory,+65 6516 1300,https://www.ystmusic.nus.edu.sg,Music Theory & Ear Training (Indian-influenced) + Riffs Method residency,Highest,"YST runs ~200 concerts a year and a strong visiting-artist tradition across 20 majors — Dean Peter Tornquist's programming team is exactly who an Indian multi-instrumentalist's cross-tradition residency should reach.",Week-long residency,high,"Programming & Productions: musconcerts@nus.edu.sg; general musgeneral@nus.edu.sg; Dean Prof. Peter Tornquist (since Feb 2022). 3 Conservatory Drive 117376.",INSTANTLY_OK,high
Singapore,Singapore,,Singapore,LASALLE College of the Arts — School of Contemporary Music,contemporary_academy,Dr Timothy O'Dwyer (Head) / Dr Darren Moore (jazz faculty),admissions@lasalle.edu.sg,@lasallesingapore,+65 6496 5000,https://www.lasalle.edu.sg/schools/school-contemporary-music,Modern Music Production / DAW + Jazz Improvisation,High,"Your School of Contemporary Music under Dr Timothy O'Dwyer — with jazz drummer Dr Darren Moore on faculty and technology woven through every course — is exactly the room my multi-instrumental and production workshop is built for.",Full-day workshop,high,"Head: Dr Timothy O'Dwyer; Dean Faculty of Performing Arts Prof. Leon Rubin. Route via admissions@lasalle.edu.sg / lasalle.edu.sg contact form.",INSTANTLY_OK,high
Singapore,Singapore,,Singapore,Nanyang Academy of Fine Arts (NAFA),contemporary_academy,,registrar@nafa.edu.sg,@nafa.edu.sg,+65 6512 4000,https://www.nafa.edu.sg,Multi-instrumental masterclass,High,"NAFA's music degree pathway (now part of the University of the Arts Singapore) gives students a serious performance route — a visiting-artist masterclass tying performance to applied theory would land well.",Full-day workshop,medium,Part of University of the Arts Singapore. Route via registrar@nafa.edu.sg / website form.,INSTANTLY_OK,medium
Singapore,Singapore,,Singapore,Alternate Tone,contemporary_academy,,hello@alternatetone.com,@alternatetone,,https://www.alternatetone.com,The Riffs Method — daily composition,Medium,"You've trained 3,000+ musicians since 2009 with a pop-first approach — the Riffs Method as a daily-composition discipline could give your students a practice framework they keep for life.",Half-day intensive,medium,City Hall & Serangoon Garden campuses; verify email via site.,INSTANTLY_OK,medium
Singapore,Singapore,,Singapore,Band Academy Singapore (B.A.S),contemporary_academy,,info@bandacademysingapore.com,@bandacademysingapore,,https://www.bandacademysingapore.com,"Bass, Guitar & Multi-instrumental",Medium,"A band-focused academy is the natural room for a multi-instrumentalist's session on locking a rhythm section and arranging together as a band.",Half-day intensive,medium,Band-centric contemporary school; verify email via site.,INSTANTLY_OK,low
Singapore,Singapore,,Singapore,Tanglin Trust School,international_school,Robert Hall (Director of Music),admissions@tts.edu.sg,@tanglintrust,+65 6778 0771,https://www.tts.edu.sg,Multi-instrumental residency + Jazz Improvisation,Highest,"Director of Music Rob Hall runs two floors of music facilities in your Centenary Building — recording studio, 100-seat rehearsal room, full orchestra and a new music scholarship — Tanglin is built for the kind of week-long residency I love.",Week-long residency,high,"Director of Music: Robert (Rob) Hall (email pattern r____@tts.edu.sg). Route via admissions@tts.edu.sg, ask to forward to Rob Hall. 95 Portsdown Road.",INSTANTLY_OK,high
Singapore,Singapore,,Singapore,Singapore American School (SAS),international_school,Adrienne Gerst (Choir Director),communityambassadors@sas.edu.sg,@singaporeamericanschool,+65 6363 3403,https://www.sas.edu.sg,Guest artist masterclass — band/choir/strings,High,"With 15 levels of music classes, 10+ annual performances and choir director Adrienne Gerst (a decade+ in the choir room), a visiting Indian multi-instrumentalist would give your students something outside their core curriculum.",Full-day workshop,high,"Choir Director: Adrienne Gerst. Phone +65 6363 3403; communityambassadors@sas.edu.sg. 40 Woodlands Street 41.",INSTANTLY_OK,high
Singapore,Singapore,,Singapore,United World College of South East Asia (UWCSEA),international_school,,info@uwcsea.edu.sg,@uwcsea,+65 6775 5344,https://www.uwcsea.edu.sg,Multi-instrumental masterclass + Riffs Method,High,"A UWC's international community across the Dover and East campuses — from string orchestra to gamelan — is the perfect setting for a cross-tradition multi-instrumental session that ties into your IB and service ethos.",Full-day workshop,high,Two campuses (Dover/East). Route via info@uwcsea.edu.sg / website form to Music Dept.,INSTANTLY_OK,medium
Singapore,Singapore,,Singapore,Nexus International School,international_school,Dr Heather Millington (Head of School),enquiries@nexus.edu.sg,@nexussingapore,+65 6536 6566,https://www.nexus.edu.sg,Guest artist masterclass,High,"With 25+ music ensembles including choirs and orchestras and a strong Instrumental Music Programme, Nexus could plug a visiting-artist workshop straight into existing groups for an immediate performable result.",Half-day intensive,medium,Head of School Dr Heather Millington. Route via enquiries@nexus.edu.sg to Head of Music.,INSTANTLY_OK,medium
Singapore,Singapore,,Singapore,Dover Court International School,international_school,,enquiries@dovercourt.edu.sg,@dovercourtsg,+65 6775 7664,https://www.dovercourt.edu.sg,Guest artist masterclass,Medium,"Your Juilliard–Nord Anglia Performing Arts Programme shows a serious arts commitment — a visiting multi-instrumentalist could complement it with a hands-on improvisation session.",Half-day intensive,medium,Nord Anglia / Juilliard partner. Route via enquiries@dovercourt.edu.sg.,INSTANTLY_OK,medium
Singapore,Singapore,,Singapore,Chatsworth International School,international_school,,admissions@chatsworth.com.sg,@chatsworthsg,+65 6463 3201,https://www.chatsworth.com.sg,Jazz & rock band workshop,Medium,"Your jazz and rock band enrichment plus instrumental masterclasses make Chatsworth a natural stop for a multi-instrumentalist's workshop.",Half-day intensive,medium,Specialist tutors for jazz/rock bands. Route via admissions@chatsworth.com.sg.,INSTANTLY_OK,low
Singapore,Singapore,,Singapore,Voices of Singapore,school_choir_social,Dr Darius Lim (Founder & Artistic Director),hello@voicesofsingapore.com,@voicesofsingapore,,https://www.voicesofsingapore.com,Vocal Harmony + arrangement,High,"HAND-WRITE. Founder Dr Darius Lim has transformed Singapore's choral landscape — a personal note about a vocal-harmony and arrangement session with your singers would resonate with that mission.",Full-day workshop,high,"Founder/Artistic Director Dr Darius Lim (IG @dariusmusic). Hand-write personally; verify hello@ via site.",DO_NOT_USE_INSTANTLY,high
Singapore,Singapore,,Singapore,Jazz Association (Singapore) — Jeremy Monteiro,jazz_venue,Jeremy Monteiro (Executive & Music Director),admin@jazzassociation.sg,@jazzassociationsingapore,,https://www.jazzassociation.sg,Performance + workshop combo,High,"PERSONAL APPROACH. Mr. Monteiro — you founded JASS in 2016 to make Singapore a leading jazz city and to grow youth talent; that cross-tradition, education-first mission is exactly the stage I'd love to play and run a workshop alongside.",Performance + 2-hour workshop,high,"Hand-write — Jeremy Monteiro, Singapore's 'King of Swing', Exec & Music Director of JASS. Also COMPASS board.",DO_NOT_USE_INSTANTLY,high
