cluster,city,state,name,archetype,recommended_topic,format_recommendation,priority,language,personalized_hook,website,phone,notes
Northeast,Shillong,Meghalaya,Shillong Chamber Choir / Chamber School,DO_NOT_USE_INSTANTLY,Vocal Harmony masterclass + Riffs Method residency,Week-long residency,Highest,English,"HAND-WRITE. After Neil Nongkynrih's passing the Choir is rebuilding — a visiting Indian multi-instrumentalist offering a residency is exactly the kind of infusion they'd value. Reference your YouTube reach + the Riffs project as a daily-composition practice.",https://www.shillongchamberchoir.com,,Reach via website contact form or Instagram @shillongchamberchoir
Northeast,Shillong,Meghalaya,St. Mary's Convent Higher Secondary School (Choir),DO_NOT_USE_INSTANTLY,Vocal Harmony + arrangement workshop,Half-day intensive,Highest,English,"HAND-WRITE. Their choir went viral on Instagram via 'Legend' performance. Reference that you saw the school choir movement coverage and would love to support the choir's development with a vocal harmony + arrangement workshop.",,,Look up choir director via school website
Northeast,Shillong,Meghalaya,KC Lights (Shillong-based youth choir),DO_NOT_USE_INSTANTLY,Vocal Harmony + Modern Production workshop,Half-day intensive,High,English,"HAND-WRITE. They record and rehearse out of a home studio in Shillong. Reference Mia's Class 10 leadership and offer a session that combines vocal harmony with home-recording techniques.",,,Find via Instagram or local Shillong music network
Northeast,Shillong,Meghalaya,Martin Luther Christian University,conservatory,Music Theory & Ear Training + Riffs Method,Week-long residency,High,English,"Your Bachelor of Performing Arts (Music) program is one of the few in the Northeast offering a degree-level pathway. A visiting Indian multi-instrumentalist with my background could anchor a week-long residency for your students.",https://mlcuniv.in,,Conservatory of Music affiliated programs
Northeast,Shillong,Meghalaya,Don Bosco Tech Society / Salesian schools (Shillong cluster),international_school,Multi-instrumental masterclass,Half-day intensive,Medium,English,"The Salesian education network has a strong music tradition across India and your Shillong campuses are no exception. I'd love to spend a session with your music students.",,,Salesian network HQ contact
Northeast,Shillong,Meghalaya,Pinewood Hotel (live music venue),jazz_venue,Performance + workshop combo,Performance + 2-hour workshop,Medium,English,"Shillong's identity as 'rock capital of India' is built on venues like yours. I'd love to perform and offer a short workshop for the local musician community.",,,Historic live music venue
Northeast,Kohima,Nagaland,Nagaland Conservatory of Music (NCM),conservatory,Music Theory & Ear Training residency + Riffs Method,Week-long residency,Highest,English,"NCM's Bachelor of Performing Arts program affiliated with Nagaland University is one of the most ambitious music education projects in the Northeast. I'd love to bring a visiting-artist residency that supports your students' formal training with cross-tradition perspective.",https://www.nagalandconservatoryofmusic.com,,Highest priority — explicitly invites international artists
Northeast,Kohima,Nagaland,Margaret Shishak School of Music (MSSM),contemporary_academy,Vocal Harmony + arrangement workshop,Full-day workshop,High,English,"Your recent concert with the Nagaland String Orchestra at G Rio Auditorium showed the kind of curated programming I love. A vocal harmony + arrangement workshop tailored to your singers could complement your Western classical work.",,,Strong choral institution
Northeast,Kohima,Nagaland,Music Academy Kohima (MAK),contemporary_academy,Multi-instrumental masterclass + Riffs Method,Full-day workshop,High,English,"Founder Khyochano TCK Ngully and Ajeen Longchari built MAK from the ground up since 2013. I'd love to offer a multi-instrumental masterclass that fits your participatory teaching philosophy.",https://musicacademykohima.com,,Founded 2013; explicitly hosts international artists
Northeast,Kohima,Nagaland,Symphony Academy of Music Kohima,contemporary_academy,Modern Music Production + DAW workflow,Full-day workshop,Medium,English,"As Nagaland's largest music institution offering both classical and contemporary courses I'd love to bring a session that bridges performance and modern production tools your students can apply immediately.",https://www.symphonymusickohima.com,,Founded 2011; growing fast
Northeast,Kohima,Nagaland,Sumi Baptist Church Kohima (Choir),DO_NOT_USE_INSTANTLY,Vocal Harmony / arrangement clinic,Half-day intensive,High,English,"HAND-WRITE. Your Youth and Adult choirs have a strong reputation in the Kohima choral community. I'd love to spend a session with your choir on arrangement and vocal harmony techniques.",,,Connect via Music Director
Northeast,Aizawl,Mizoram,Mizo Cardinal Choir,DO_NOT_USE_INSTANTLY,Vocal Harmony + arrangement + Modern Production,Week-long residency,Highest,English/Mizo,"HAND-WRITE. Your Silver medal at the World Choir Games Tshwane 2017 showed Mizoram's choral excellence on the global stage. I'd love to offer a residency that supports your singers in vocal harmony arrangement and recording techniques.",,,Founded 28 Aug 2012 by C. Zodingliana
Northeast,Aizawl,Mizoram,BESY Choir (Bible Society Mizoram),DO_NOT_USE_INSTANTLY,Sacred music arrangement workshop,Full-day workshop,Highest,English/Mizo,"HAND-WRITE. Your rendition of 'He Hideth My Soul' has reached over 4 million YouTube views — extraordinary reach for a sacred music ensemble. A workshop on sacred music arrangement and recording for video would feel like a natural fit.",,,Founded 1981; viral choir
Northeast,Aizawl,Mizoram,Mizoram University Department of Music,conservatory,Music Theory & Ear Training,Full-day workshop,High,English,"As Mizoram's largest formal music education institution your students would benefit from a session on Music Theory & Ear Training delivered through an Indian multi-instrumentalist's lens.",,,Central university with formal music programs
Northeast,Aizawl,Mizoram,Synod Choir / Presbyterian Church of Mizoram,DO_NOT_USE_INSTANTLY,Choir clinic + arrangement,Half-day intensive,High,English/Mizo,"HAND-WRITE. The Presbyterian Church of Mizoram runs the most influential choral program in the state. Reach via Synod office.",,,Reach via Mizoram Synod
Northeast,Imphal,Manipur,Manipur University Department of Music & Dance,conservatory,Music Theory & Ear Training,Full-day workshop,Medium,English/Manipuri,"Your formal music department is a rare degree-granting institution in the Northeast. I'd love to offer a session on Music Theory & Ear Training for your students.",,,Optional add-on city
Kerala,Kochi,Kerala,Crossroads School of Music,contemporary_academy,Multi-instrumental masterclass + Riffs Method,Week-long residency,Highest,English/Malayalam,"Your music director Alphons Joseph has built Crossroads into a serious institution with NYC-certified vocal coaches and structured pedagogy. I'd love to bring a residency that adds my multi-instrumental and daily-composition perspective to your faculty's work.",https://crsm.in,,Multiple campuses; serious institution
Kerala,Kochi,Kerala,The Vibe Music Conservatory,contemporary_academy,Modern Music Production + Mixing/Mastering,Full-day workshop,High,English/Malayalam,"Your faculty including John & Nithin from Motherjane gives The Vibe a rock-band lineage that's rare in formal academies. A modern-production + mixing/mastering workshop could anchor a great session with your advanced students.",http://www.thevibemusic.org,+91 95442 61393,Founder: Faculty links to Motherjane
Kerala,Kochi,Kerala,Jam Music Conservatory,contemporary_academy,Multi-instrumental masterclass,Full-day workshop,High,English/Malayalam,"As an official Trinity College London exam centre Jam has built structured pedagogy that would benefit from a visiting-artist multi-instrumental masterclass tying performance to applied music theory.",,,Trinity College London exam centre
Kerala,Kochi,Kerala,Don Bosco Academy of Music & Fine Arts,contemporary_academy,Multi-instrumental masterclass + Vocal Harmony,Full-day workshop,High,English/Malayalam,"As the Music & Fine Arts wing of Don Bosco Cultural Centre Kochi you serve a wide spectrum from beginners to serious students. A multi-instrumental masterclass with vocal harmony module could fit multiple cohorts in one visit.",https://dbacademy.in,+91 87529 23456,Catholic-affiliated; broad student base
Kerala,Kochi,Kerala,Jerson Antony's School of Music,contemporary_academy,Piano Mastery + Improvisation,Half-day intensive,Medium,English/Malayalam,"Your boutique academy in Panampilly Nagar has a strong reputation for piano teaching. I'd love to offer a half-day on Piano Mastery and improvisation tools for your advanced students.",,+91 89431 97040,Boutique academy
Kerala,Kochi,Kerala,RLV College of Music & Institute of Fine Arts,conservatory,Music Theory & Ear Training (Indian-influenced lens),Full-day workshop,High,English/Malayalam,"As one of Kerala's degree-granting government music institutions I'd love to bring a session on Music Theory & Ear Training delivered from my Indian-influenced perspective with two decades of performing experience.",,,Government institution
Kerala,Kochi,Kerala,Sangeetha Bhaarathi Music Academy,contemporary_academy,Vocal Harmony for Carnatic-trained singers,Full-day workshop,Medium,English/Malayalam,"Your Carnatic specialization since 2010 has built a strong vocal foundation in your students. A workshop on Western vocal harmony layered onto Carnatic vocal training could open new arrangement possibilities.",https://sangeethabhaarathi.com,,Carnatic specialization
Kerala,Kochi,Kerala,Cochin Waves Orchestra,jazz_venue,Performance + workshop combo,Performance + 2-hour workshop,Medium,English/Malayalam,"As an active orchestra and cultural arts academy in Kochi I'd love to perform with your group and offer a workshop tied to the performance.",https://www.cochinwaves.com,,Multi-arts venue
